query,complexity,task_type,domain,has_code,is_math,optimal_model,rationale
Analyze the market trends for cryptocurrency in the last quarter of 2023 based on provided data (assume data is given).,4,analysis,finance,0,0,gpt-4o,Market trend analysis requires interpretation of complex data and strategic insights.
"Translate a complex legal document from English to German, maintaining precise legal terminology.",5,translation,legal,0,0,gpt-4o,"High-stakes, domain-specific translation demands the highest level of accuracy and linguistic nuance."
"Summarize a medical research paper on the efficacy of a new drug for diabetes, focusing on methodology and key findings.",4,summarization,medical,0,0,gpt-4o,Summarizing specialized research requires deep comprehension and precise information extraction.
Generate C++ code for a binary search tree insertion function.,3,code,tech,1,0,gemini-flash,Generating a standard data structure operation requires moderate coding skill.
"Debug this SQL query: `SELECT name, age FROM Users WHERE age > '25'` (assume age is an integer column).",2,debugging,tech,1,0,gemini-flash,Identifying a type mismatch in a SQL query is a common debugging task.
"Given a sequence of events, determine the most probable next event based on causal relationships.",4,reasoning,general,0,0,gpt-4o,Probabilistic causal reasoning requires advanced understanding of sequences and dependencies.
Draft a short motivational speech for students preparing for final exams.,3,creative,education,0,0,o3-mini,Generating an engaging and context-appropriate speech is suitable for a capable smaller model.
Perform a SWOT analysis for a new educational technology startup.,4,analysis,education,0,0,gpt-4o,Strategic analysis requires understanding various business factors and their interplay.
Explain the concept of 'opportunity cost' in economics using a real-world example.,2,qa,finance,0,0,gemini-flash,Explaining a core economic principle with an example is a moderate comprehension task.
Write a creative short story about a detective solving a mystery in a futuristic cyberpunk city.,4,creative,general,0,0,gpt-4o,Crafting a detailed and imaginative narrative requires significant creative capacity.
"Explain the process of photosynthesis, including its chemical equation, for a middle school science project.",3,qa,science,0,0,gemini-flash,Explaining a scientific process at a middle school level with chemical details is moderately complex.
"Summarize a legal brief regarding a contractual dispute, highlighting key arguments from both plaintiff and defendant.",4,summarization,legal,0,0,gpt-4o,Summarizing a legal document requires precise extraction of arguments and understanding of legal context.
"Calculate the present value of an annuity with specific parameters (interest rate, payment amount, number of periods).",3,reasoning,finance,0,1,gemini-flash,Financial calculations involving specific formulas are suitable for a model with strong numerical capabilities.
Generate a regular expression to validate email addresses.,3,code,tech,1,0,gemini-flash,Creating a robust regex for email validation is a moderately complex coding task.
Identify and correct the logical error in a pseudo-code algorithm designed to sort an array in descending order.,3,debugging,education,1,0,gemini-flash,Debugging an algorithm in pseudo-code requires understanding logic flow and sorting principles.
"Write a short, engaging description for a new medical device that monitors heart rate for elderly patients.",2,creative,medical,0,0,o3-mini,Crafting a concise and appealing product description is a relatively straightforward creative task.
Provide a detailed analysis of the implications of a recent supreme court ruling on corporate taxation.,5,analysis,legal,0,0,gpt-4o,Analyzing complex legal implications requires deep domain expertise and critical reasoning.
"Summarize the key findings from the latest IPCC report on climate change, focusing on policy recommendations.",3,summarization,science,0,0,gpt-4o,Requires understanding complex scientific text and distilling policy-relevant information.
Analyze the fundamental principles of quantum entanglement and its theoretical implications for information transfer.,4,analysis,science,0,0,gpt-4o,Involves deep theoretical analysis and explanation of complex scientific concepts.
Write a Python function to calculate the Nth Fibonacci number recursively with memoization.,2,code,tech,1,0,o3-mini,Basic coding task requiring knowledge of recursion and optimization.
Debug this Java code snippet that is causing a NullPointerException: `String s = null; System.out.println(s.length());`,1,debugging,tech,1,0,gemini-flash,"Simple debugging for a common error, identifiable by pattern matching."
"If all 'Slorps' are 'Glarps', and some 'Glarps' are 'Flurps', can we logically conclude that some 'Slorps' are 'Flurps'? Explain your reasoning using deductive logic.",3,reasoning,general,0,0,gpt-4o,Requires logical deduction and explanation of abstract logical problems.
Draft a short story about a sentient teapot who dreams of becoming a space explorer and accidentally gets launched into orbit.,4,creative,general,0,0,gpt-4o,"Demands imaginative storytelling, character development, and narrative coherence."
"Analyze the potential impact of rising interest rates on the housing market in the next fiscal year, considering both demand and supply sides.",4,analysis,finance,0,0,gpt-4o,Requires in-depth understanding of economic principles and predictive analysis.
"What are the common symptoms and established treatment options for type 2 diabetes, including lifestyle modifications?",2,qa,medical,0,0,gemini-flash,Factual medical information retrieval and summary is well-suited for a knowledgeable model.
What is the capital of France and what famous landmark is located there?,1,qa,general,0,0,gemini-flash,Trivial factual recall and basic information retrieval.
Provide a legal reasoning for when a 'force majeure' clause would or would not apply in a hypothetical commercial contract dispute involving a global pandemic.,4,reasoning,legal,0,0,gpt-4o,"Requires nuanced legal reasoning, case analysis, and application of specific legal concepts."
"Design a lesson plan for teaching elementary students about the water cycle, including an activity and assessment idea.",3,creative,education,0,0,gemini-flash,"Involves pedagogical knowledge and structuring educational content, suitable for a capable model."
Translate the following Latin phrase 'Carpe Diem' into English and briefly explain its philosophical context and interpretation.,2,translation,education,0,0,gemini-flash,Simple translation combined with a concise explanation of meaning.
"Given a dataset of student test scores, write a SQL query to find the average score for each subject, and list the subjects where the average score is above 85.",3,code,education,1,1,o3-mini,"Involves database query logic and basic mathematical aggregation, requiring code generation."
"Summarize the ethical considerations surrounding the use of AI in medical diagnostics, discussing issues like bias and data privacy.",4,summarization,medical,0,0,gpt-4o,Requires synthesizing complex ethical arguments and specialized domain knowledge.
"Create three different catchy slogans for a new eco-friendly cleaning product, highlighting its effectiveness and natural ingredients.",2,creative,general,0,0,gemini-flash,Basic creative text generation for marketing purposes.
"Analyze the implications of a sudden increase in demand for a product with an inelastic supply, detailing the short-term and long-term market adjustments.",4,analysis,finance,0,0,gpt-4o,Requires economic reasoning and predictive analysis of market dynamics.
Identify and fix the bug in this C++ code where an array is being accessed out of bounds: `int arr[5]; for(int i=0; i<=5; i++) { arr[i] = i; }`,2,debugging,tech,1,0,o3-mini,Common array indexing error requiring code understanding and correction.
"Formulate a comprehensive legal argument against a proposed corporate merger on anti-trust grounds, citing relevant legal precedents and economic impact.",5,reasoning,legal,0,0,gpt-4o,"High-level legal reasoning, persuasive argument construction, and knowledge of precedents."
"Perform a sentiment analysis on 10 provided customer reviews for a new smartphone model and identify common complaints and praises, then summarize the overall sentiment.",4,analysis,tech,0,0,gpt-4o,"Requires natural language processing, data interpretation, and summarization of findings."
"Given the coordinates of three points A(1,2), B(4,6), and C(7,2), determine if they form a right-angled triangle by calculating side lengths and checking the Pythagorean theorem.",4,reasoning,education,0,1,gpt-4o,"Involves geometric reasoning and mathematical calculations (distance formula, Pythagorean theorem)."
"What is the chemical formula for water, how many hydrogen atoms are in a single molecule, and what is its molar mass?",1,qa,science,0,1,gemini-flash,Simple factual recall combined with basic mathematical calculation.
"Compose a short, evocative poem about the changing seasons, specifically focusing on the transition from autumn to winter and the feelings it evokes.",3,creative,general,0,0,gemini-flash,Requires poetic expression and evocative language to capture a theme.
"Explain the process of photosynthesis in detail, including the reactants, products, key stages (light-dependent and light-independent reactions), and energy conversion.",3,summarization,science,0,0,o3-mini,Explaining a complex biological process concisely and comprehensively is suitable for a capable summarization model.
"Write a shell script (Bash) to backup all files in a specified directory that were modified in the last 24 hours to a compressed tar archive, excluding certain file types.",3,code,tech,1,0,o3-mini,"Involves scripting logic, file system operations, and conditional processing."
"Translate the phrase 'Veni, vidi, vici' into English.",1,translation,education,0,0,gemini-flash,Simple translation of a known phrase is efficient for gemini-flash.
Summarize the key events of World War II in less than 250 words.,2,summarization,general,0,0,o3-mini,Summarizing well-documented historical events concisely is suitable for o3-mini.
What are the primary causes of deforestation in the Amazon rainforest?,3,qa,science,0,0,gemini-flash,Factual query requiring retrieval of specific environmental information.
Write a C# function to reverse a string without using built-in reverse functions.,3,code,tech,1,0,gpt-4o,Generating efficient code for a common algorithm without specific libraries needs robust logic.
"Fix the syntax error in this HTML snippet: `<p>Hello, world!<div>`",1,debugging,tech,1,0,gemini-flash,Basic syntax error identification and correction is a simple debugging task.
"If all dogs are mammals and all mammals are animals, is a dog an animal? Provide your reasoning.",1,reasoning,general,0,0,o3-mini,Simple deductive reasoning is a core capability of even smaller models.
Compose a short lullaby for a baby about stars and dreams.,2,creative,general,0,0,gemini-flash,Generating simple creative text like a lullaby is efficient for gemini-flash.
"Analyze the financial statements of a hypothetical startup to forecast its profitability over the next three years, given specific growth rates.",5,analysis,finance,0,1,gpt-4o,Complex financial forecasting and analysis requires sophisticated mathematical and reasoning capabilities.
Explain the role of ribosomes in protein synthesis.,2,qa,science,0,0,o3-mini,Factual explanation of a fundamental biological process is suitable for o3-mini.
"Translate a medical consent form from English to Spanish, ensuring all legal and medical terms are accurate.",4,translation,medical,0,0,gpt-4o,"High-stakes, domain-specific translation requires precision and nuanced understanding, best for gpt-4o."
Summarize the pros and cons of renewable energy sources for a public policy brief.,3,summarization,science,0,0,gemini-flash,Summarizing balanced arguments for a policy document is efficient for gemini-flash.
"Implement a machine learning model (e.g., a simple linear regression) in Python using scikit-learn.",4,code,tech,1,1,gpt-4o,Implementing machine learning models involves both coding and underlying mathematical concepts.
What are the standard procedures for obtaining a patent in the United States?,3,qa,legal,0,0,gemini-flash,Factual queries about legal procedures are efficiently answered by gemini-flash.
Write a compelling short narrative from the perspective of a sentient AI experiencing emotion for the first time.,4,creative,tech,0,0,gpt-4o,Complex creative writing with an abstract theme and unique perspective is best for gpt-4o.
Analyze the impact of a recent Supreme Court ruling on civil liberties.,4,analysis,legal,0,0,gpt-4o,In-depth legal analysis requires advanced reasoning and understanding of legal precedents.
"A patient exhibits symptoms including high fever, severe headache, and stiff neck. Deduce a possible diagnosis.",4,reasoning,medical,0,0,gemini-flash,Common medical diagnosis based on symptom analysis is well-suited for gemini-flash.
"Identify the logical flaw in this argument: 'My neighbor drives a fancy car, so he must be rich and successful.'",2,reasoning,general,0,0,o3-mini,Identifying common logical fallacies is a basic reasoning task for smaller models.
"Rewrite a complex academic abstract for a general audience, simplifying jargon.",3,summarization,education,0,0,gemini-flash,Adapting academic language for a general audience is a strong summarization capability of gemini-flash.
"Analyze the profitability of investing in a specific cryptocurrency, considering market volatility and projected growth.",4,analysis,finance,0,1,gpt-4o,High-risk financial analysis involving market dynamics and projections benefits from gpt-4o's reasoning.
Debug a multi-threaded C++ application experiencing deadlocks and race conditions.,5,debugging,science,1,0,gpt-4o,Debugging complex concurrency issues in scientific computing requires expert-level code analysis.
What is the square root of 256 and how do you calculate it without a calculator?,2,qa,education,0,1,o3-mini,Basic mathematical calculation and explanation of method is suitable for o3-mini.
"Translate an ancient Sumerian tablet inscription into modern English, interpreting context.",5,translation,education,0,0,gpt-4o,Translating ancient texts with historical interpretation serves an educational context.
Write a simple Python script to calculate prime numbers up to a given limit using a Sieve of Eratosthenes algorithm.,3,code,education,1,1,gemini-flash,Generating a common math-related algorithm in Python is efficient for gemini-flash.
Provide a detailed analysis of the ethical considerations surrounding physician-assisted suicide.,5,analysis,medical,0,0,gpt-4o,Deep ethical analysis of sensitive medical topics requires advanced reasoning and nuanced understanding.
Debug this Java code that's supposed to calculate factorials but returns negative numbers for certain inputs.,4,debugging,finance,1,0,gemini-flash,Debugging code for financial applications requires domain-specific understanding.
Summarize the key findings of the latest IPCC report on climate change in 200 words.,3,summarization,science,0,0,gpt-4o,Requires understanding complex scientific text and condensing it effectively.
Explain the concept of quantum entanglement for a high school student.,3,qa,science,0,0,gpt-4o,Requires simplifying complex scientific information for a specific audience.
Debug the following JavaScript code snippet which is supposed to reverse a string: `function reverseString(str) { return str.split('').reverse; }`,2,debugging,tech,1,0,o3-mini,Identifying and correcting a simple coding error is suitable for smaller models.
"Draft a short, compelling email to a potential investor for a new AI startup focused on personalized learning.",4,creative,finance,0,0,gpt-4o,Requires creativity and strategic thinking to persuade a specific audience.
"Analyze the pros and cons of implementing a universal basic income policy in developed nations, considering economic and social impacts.",5,analysis,education,0,0,gpt-4o,In-depth analysis of complex socioeconomic policies requires advanced reasoning.
"If a car travels at 60 mph for 3 hours, how far does it travel?",1,reasoning,general,0,1,o3-mini,A basic word problem requiring simple mathematical calculation.
Explain the legal implications of data privacy regulations like GDPR for businesses operating globally.,4,analysis,legal,0,0,gpt-4o,Requires deep understanding of legal frameworks and their international business impact.
Refactor this C++ code to use smart pointers instead of raw pointers for memory management.,3,code,tech,1,0,gpt-4o,Modifying existing code to improve design patterns requires good code understanding.
What are the common symptoms and treatment options for Type 2 Diabetes?,2,qa,medical,0,0,gemini-flash,Factual retrieval and summarization of medical information.
Evaluate the ethical considerations surrounding the use of CRISPR gene editing technology in humans.,4,reasoning,science,0,0,gpt-4o,Requires complex ethical reasoning and understanding of advanced biological concepts.
Write a SQL query to select all employees who earn more than their direct managers.,3,code,tech,1,0,gemini-flash,Generating a moderately complex SQL query is a common coding task.
How does photosynthesis convert light energy into chemical energy?,2,qa,science,0,0,o3-mini,Explaining a biological process factually.
"Identify the logical fallacy in the statement: 'Everyone is buying this new gadget, so it must be the best one on the market.'",2,reasoning,education,0,0,gemini-flash,Requires basic logical analysis to identify a common fallacy.
"Summarize the current global economic outlook, focusing on inflation trends and central bank policies.",4,summarization,finance,0,0,gpt-4o,Summarizing complex and dynamic financial data requires advanced comprehension.
Translate a short technical manual section on 'Troubleshooting Network Connectivity' from English to German.,3,translation,tech,0,0,gpt-4o,Technical translation demands precision and domain-specific vocabulary.
What are the key principles of contract law and offer-acceptance in common law jurisdictions?,3,qa,legal,0,0,gemini-flash,Explaining legal concepts requires accurate factual retrieval and clear exposition.
"Analyze the financial statements of Apple Inc. for the last fiscal year and provide a brief investment recommendation (buy, sell, or hold).",5,analysis,finance,0,0,gpt-4o,Requires detailed financial analysis and strategic investment decision-making.
"Suggest creative ways to fundraise for a local animal shelter, targeting both online and offline strategies.",3,creative,general,0,0,gemini-flash,Generating diverse and practical creative ideas.
"Given the sequence 1, 4, 9, 16, what is the 7th term and the formula for the Nth term?",2,reasoning,education,0,1,o3-mini,Requires pattern recognition and basic mathematical sequence derivation.
"Correct the semantic error in this patient's medical history entry: 'Patient experienced acute pain after consuming penicillin, which she is allergic to.'",3,debugging,medical,0,0,o3-mini,Identifying and correcting logical inconsistencies in natural language requires contextual understanding.
"Write a short story from the perspective of a tiny robot exploring a vast, abandoned library.",4,creative,general,0,0,gemini-flash,Requires imaginative storytelling with a specific narrative constraint.
